City/Town,Ward,Pct,Obama_12,Romney_12,Clinton_16,Trump_16,US_House,State_Rep,State_Sen,PVI_N,PVI
New Bedford,6,A,766,294,634,414,9th Congressional,13th Bristol,2nd Bristol and Plymouth,14.8783928528,D+15
New Bedford,6,B,698,238,589,337,9th Congressional,13th Bristol,2nd Bristol and Plymouth,17.5839572517,D+18
New Bedford,6,C,428,80,395,101,9th Congressional,13th Bristol,2nd Bristol and Plymouth,30.4368421675,D+30
New Bedford,6,D,410,75,311,115,9th Congressional,13th Bristol,2nd Bristol and Plymouth,27.6085286379,D+28
New Bedford,6,E,520,89,432,150,9th Congressional,13th Bristol,2nd Bristol and Plymouth,28.3975601687,D+28
New Bedford,6,F,636,161,494,223,9th Congressional,13th Bristol,2nd Bristol and Plymouth,23.1014545239,D+23
New Braintree,-,1,284,257,246,326,2nd Congressional,5th Worcester,"Worcester, Hampden, Hampshire and Middlesex",-3.91622176723,R+4
New Marlborough,-,1,573,240,564,218,1st Congressional,4th Berkshire,"Berkshire, Hampshire, Franklin and Hampden",19.7499970714,D+20
New Salem,-,1,381,205,337,208,2nd Congressional,2nd Franklin,"Hampshire, Franklin and Worcester",11.9483734077,D+12
Newbury,-,1,1211,980,1290,793,6th Congressional,2nd Essex,1st Essex and Middlesex,6.98134268672,D+7
Newbury,-,2,1080,1124,1175,923,6th Congressional,2nd Essex,1st Essex and Middlesex,0.882210855472,D+1
Newburyport,1,1,970,462,1023,335,6th Congressional,1st Essex,1st Essex,19.89842237,D+20
Newburyport,1,P,270,191,266,204,6th Congressional,1st Essex,1st Essex,6.03723329901,D+6
Newburyport,2,1,1300,499,1412,400,6th Congressional,1st Essex,1st Essex,23.5685799629,D+24
Newburyport,3,1,1187,611,1260,463,6th Congressional,1st Essex,1st Essex,17.9620325166,D+18
Newburyport,4,1,1222,744,1386,501,6th Congressional,1st Essex,1st Essex,16.1522468349,D+16
Newburyport,5,1,854,767,935,577,6th Congressional,1st Essex,1st Essex,5.56654995621,D+6
Newburyport,6,1,991,789,1103,634,6th Congressional,1st Essex,1st Essex,8.00411076726,D+8
Newton,1,1,867,423,912,394,4th Congressional,10th Middlesex,1st Middlesex and Norfolk,16.9932360066,D+17
Newton,1,2,1055,341,1206,201,4th Congressional,11th Middlesex,1st Middlesex and Norfolk,29.1283053551,D+29
Newton,1,3,1038,276,1224,162,4th Congressional,11th Middlesex,1st Middlesex and Norfolk,32.2425083915,D+32
Newton,1,4,815,501,976,413,4th Congressional,10th Middlesex,1st Middlesex and Norfolk,14.675451501,D+15
Newton,2,1,996,402,1149,284,4th Congressional,11th Middlesex,1st Middlesex and Norfolk,24.2330103735,D+24
Newton,2,2,817,260,840,154,4th Congressional,11th Middlesex,1st Middlesex and Norfolk,28.4743877842,D+28
Newton,2,3,1275,356,1428,193,4th Congressional,11th Middlesex,1st Middlesex and Norfolk,31.5828117945,D+32
Newton,2,4,1277,346,1389,197,4th Congressional,11th Middlesex,1st Middlesex and Norfolk,31.5435713741,D+32
Newton,3,1,1071,446,1252,295,4th Congressional,11th Middlesex,1st Middlesex and Norfolk,24.2806575067,D+24
Newton,3,2,1098,386,1300,184,4th Congressional,11th Middlesex,1st Middlesex and Norfolk,29.2598788617,D+29
Newton,3,3,939,460,1138,364,4th Congressional,11th Middlesex,1st Middlesex and Norfolk,20.0607319926,D+20
Newton,3,4,978,444,1136,370,4th Congressional,11th Middlesex,1st Middlesex and Norfolk,20.6641841656,D+21
Newton,4,1,929,379,1083,253,4th Congressional,11th Middlesex,1st Middlesex and Norfolk,24.5615536092,D+25
Newton,4,2,974,253,1141,174,4th Congressional,11th Middlesex,1st Middlesex and Norfolk,31.6669336035,D+32
Newton,4,3,736,247,836,173,4th Congressional,11th Middlesex,1st Middlesex and Norfolk,27.3803932643,D+27
Newton,4,4,920,385,1030,315,4th Congressional,11th Middlesex,1st Middlesex and Norfolk,22.0496362741,D+22
Newton,5,1,923,351,1044,246,4th Congressional,12th Middlesex,1st Middlesex and Norfolk,25.1807992565,D+25
Newton,5,2,1131,263,1260,164,4th Congressional,12th Middlesex,1st Middlesex and Norfolk,33.312140124,D+33
Newton,5,3,1331,418,1497,202,4th Congressional,12th Middlesex,1st Middlesex and Norfolk,30.4832920986,D+30
Newton,5,4,1340,407,1468,201,4th Congressional,12th Middlesex,1st Middlesex and Norfolk,30.6661357659,D+31
Newton,6,1,942,370,1030,284,4th Congressional,12th Middlesex,1st Middlesex and Norfolk,23.5599324416,D+24
Newton,6,2,1195,319,1313,170,4th Congressional,12th Middlesex,1st Middlesex and Norfolk,32.1484142974,D+32
Newton,6,3,1349,246,1455,151,4th Congressional,12th Middlesex,1st Middlesex and Norfolk,36.0623563557,D+36
Newton,6,4,1328,350,1483,156,4th Congressional,12th Middlesex,1st Middlesex and Norfolk,33.2099823472,D+33
Newton,7,1,916,460,1038,228,4th Congressional,12th Middlesex,1st Middlesex and Norfolk,22.4238524911,D+22
Newton,7,2,1249,501,1418,234,4th Congressional,11th Middlesex,1st Middlesex and Norfolk,26.8597923421,D+27
Newton,7,3,578,215,496,71,4th Congressional,12th Middlesex,1st Middlesex and Norfolk,27.435318849,D+27
Newton,7,4,490,262,590,139,4th Congressional,12th Middlesex,1st Middlesex and Norfolk,21.3884308163,D+21
Newton,8,1,975,615,1245,420,4th Congressional,12th Middlesex,1st Middlesex and Norfolk,16.6674955907,D+17
Newton,8,2,876,651,1133,386,4th Congressional,12th Middlesex,1st Middlesex and Norfolk,14.4200818941,D+14
Newton,8,3,1043,507,1192,339,4th Congressional,12th Middlesex,1st Middlesex and Norfolk,21.0061132817,D+21
Newton,8,4,648,314,761,247,4th Congressional,12th Middlesex,1st Middlesex and Norfolk,19.9875732533,D+20
Norfolk,-,1,540,700,609,555,4th Congressional,9th Norfolk,"Norfolk, Bristol and Middlesex",-3.73992828811,R+4
Norfolk,-,2,1033,1305,1313,1002,4th Congressional,9th Norfolk,"Norfolk, Bristol and Middlesex",-1.11618492464,R+1
Norfolk,-,3,860,1198,1034,901,4th Congressional,9th Norfolk,"Norfolk, Bristol and Middlesex",-4.10226162269,R+4
Northampton,1,A,759,98,817,106,2nd Congressional,1st Hampshire,"Hampshire, Franklin and Worcester",37.0040564564,D+37
Northampton,1,B,1108,223,1113,173,2nd Congressional,1st Hampshire,"Hampshire, Franklin and Worcester",33.3329002736,D+33
Northampton,2,A,1127,90,1115,48,2nd Congressional,1st Hampshire,"Hampshire, Franklin and Worcester",42.666411286,D+43
Northampton,2,B,695,37,694,41,2nd Congressional,1st Hampshire,"Hampshire, Franklin and Worcester",43.1477571986,D+43
Northampton,3,A,1068,131,1104,100,2nd Congressional,1st Hampshire,"Hampshire, Franklin and Worcester",38.8517468434,D+39
Northampton,3,B,1000,101,1000,97,2nd Congressional,1st Hampshire,"Hampshire, Franklin and Worcester",39.4565413508,D+39
Northampton,4,A,833,69,810,52,2nd Congressional,1st Hampshire,"Hampshire, Franklin and Worcester",41.6053201829,D+42
Northampton,4,B,921,112,974,82,2nd Congressional,1st Hampshire,"Hampshire, Franklin and Worcester",39.1779905467,D+39
Northampton,5,A,883,139,948,137,2nd Congressional,1st Hampshire,"Hampshire, Franklin and Worcester",35.3655374481,D+35
Northampton,5,B,982,151,998,114,2nd Congressional,1st Hampshire,"Hampshire, Franklin and Worcester",36.660721705,D+37
Northampton,6,A,955,273,868,295,2nd Congressional,1st Hampshire,"Hampshire, Franklin and Worcester",24.7089798818,D+25
Northampton,6,B,976,292,1033,234,2nd Congressional,1st Hampshire,"Hampshire, Franklin and Worcester",27.7152237104,D+28
Northampton,7,A,1006,222,1037,189,2nd Congressional,1st Hampshire,"Hampshire, Franklin and Worcester",31.7165643546,D+32
Northampton,7,B,946,244,1001,210,2nd Congressional,1st Hampshire,"Hampshire, Franklin and Worcester",29.5559426087,D+30
Northborough,-,1,1133,991,1335,751,2nd Congressional,4th Middlesex,1st Worcester,7.0870584047,D+7
Northborough,-,2,1066,908,1196,714,2nd Congressional,12th Worcester,1st Worcester,6.70365955296,D+7
Northborough,-,3,1154,990,1319,721,2nd Congressional,4th Middlesex,Middlesex and Worcester,7.57084916057,D+8
Northborough,-,4,1045,990,1280,778,2nd Congressional,12th Worcester,1st Worcester,5.26903063816,D+5
Northbridge,-,1,892,984,857,994,2nd Congressional,9th Worcester,Worcester and Norfolk,-4.60744539915,R+5
Northbridge,-,2,909,963,903,950,2nd Congressional,9th Worcester,2nd Worcester,-2.89097408426,R+3
Northbridge,-,3,781,897,763,832,2nd Congressional,9th Worcester,Worcester and Norfolk,-4.36142276238,R+4
Northbridge,-,4,863,1265,902,1201,2nd Congressional,9th Worcester,2nd Worcester,-9.81936298117,R+10
Northfield,-,1,1115,474,1013,533,2nd Congressional,2nd Berkshire,"Hampshire, Franklin and Worcester",16.3435184925,D+16
Norton,-,1,960,1008,996,1035,4th Congressional,4th Bristol,Bristol and Norfolk,-2.62304132926,R+3
Norton,-,2,927,1034,971,977,4th Congressional,4th Bristol,Bristol and Norfolk,-2.98065183703,R+3
Norton,-,3,1104,849,1007,876,4th Congressional,1st Bristol,Bristol and Norfolk,3.49601319975,D+3
Norton,-,4,928,964,991,943,4th Congressional,1st Bristol,Bristol and Norfolk,-1.37844764033,R+1
Norton,-,5,556,602,590,597,4th Congressional,1st Bristol,Bristol and Norfolk,-2.66533335216,R+3
Norwell,-,1,910,1124,1003,926,9th Congressional,5th Plymouth,Plymouth and Norfolk,-3.26375790507,R+3
Norwell,-,2,896,1291,1130,991,9th Congressional,5th Plymouth,Plymouth and Norfolk,-4.50648572797,R+5
Norwell,-,3,923,1273,1144,920,9th Congressional,5th Plymouth,Plymouth and Norfolk,-3.01414262571,R+3
Norwood,-,1,987,748,1081,701,8th Congressional,12th Norfolk,Norfolk and Suffolk,7.26484434702,D+7
Norwood,-,2,942,703,1003,625,8th Congressional,12th Norfolk,Norfolk and Suffolk,7.89033403566,D+8
Norwood,-,3,962,733,1049,620,8th Congressional,12th Norfolk,Norfolk and Suffolk,8.24475439494,D+8
Norwood,-,4,957,941,1115,721,8th Congressional,12th Norfolk,Norfolk and Suffolk,3.95482166889,D+4
Norwood,-,5,781,437,893,403,8th Congressional,12th Norfolk,Norfolk and Suffolk,15.0518427856,D+15
Norwood,-,6,763,551,821,513,8th Congressional,12th Norfolk,Norfolk and Suffolk,8.28346173155,D+8
Norwood,-,7,876,669,905,660,8th Congressional,12th Norfolk,Norfolk and Suffolk,5.73161164266,D+6
Norwood,-,8,1078,696,1116,651,8th Congressional,12th Norfolk,Norfolk and Suffolk,10.4246289475,D+10
Norwood,-,9,889,911,1017,798,8th Congressional,12th Norfolk,Norfolk and Suffolk,1.1894885667,D+1
Oak Bluffs,-,1,1969,796,2098,738,9th Congressional,"Barnstable, Dukes and Nantucket",Cape and Islands,21.0767641792,D+21
Oakham,-,1,509,609,435,633,2nd Congressional,5th Worcester,"Worcester, Hampden, Hampshire and Middlesex",-8.35137185654,R+8
Orange,-,1,867,660,714,799,2nd Congressional,2nd Franklin,"Hampshire, Franklin and Worcester",0.471309561093,EVEN
Orange,-,2,951,665,773,751,2nd Congressional,2nd Franklin,"Hampshire, Franklin and Worcester",3.36918921245,D+3
Orleans,-,1,2530,1943,2687,1511,9th Congressional,4th Barnstable,Cape and Islands,8.63080142447,D+9
Otis,-,1,489,312,431,407,1st Congressional,4th Berkshire,"Berkshire, Hampshire, Franklin and Hampden",4.59651828914,D+5
Oxford,-,1,796,862,703,882,2nd Congressional,18th Worcester,Worcester and Norfolk,-5.31263602211,R+5
Oxford,-,2,740,791,682,907,2nd Congressional,7th Worcester,Worcester and Norfolk,-5.95834630935,R+6
Oxford,-,3,833,822,707,920,2nd Congressional,7th Worcester,Worcester and Norfolk,-4.61266122052,R+5
Oxford,-,4,757,788,652,867,2nd Congressional,18th Worcester,Worcester and Norfolk,-5.54962969959,R+6
Palmer,-,1,731,592,572,743,1st Congressional,1st Hampden,"Worcester, Hampden, Hampshire and Middlesex",-2.14178947725,R+2
Palmer,-,1A,95,78,81,118,2nd Congressional,1st Hampden,"Worcester, Hampden, Hampshire and Middlesex",-4.22344142929,R+4
Palmer,-,2,775,730,633,863,1st Congressional,1st Hampden,"Worcester, Hampden, Hampshire and Middlesex",-4.61757528431,R+5
Palmer,-,3,682,477,602,577,1st Congressional,1st Hampden,"Worcester, Hampden, Hampshire and Middlesex",3.38346457437,D+3
Palmer,-,4,735,591,587,782,1st Congressional,1st Hampden,"Worcester, Hampden, Hampshire and Middlesex",-2.48146604676,R+2
Paxton,-,1,1124,1362,1213,1197,2nd Congressional,1st Worcester,"Worcester, Hampden, Hampshire and Middlesex",-3.80242624902,R+4
Peabody,1,1,920,622,847,644,6th Congressional,12th Essex,2nd Essex,6.7238799708,D+7
Peabody,1,2,881,870,841,860,6th Congressional,12th Essex,2nd Essex,-1.65114424143,R+2
